title,description,label
[330-15ARR_EVT_Performace]UMA unit 3D performance score is higher than DIS units.,"Test condition: 

 OS: win10 RS3 10.0.16299

 Language: CHS/EN

 BIOS/EC: V01/V01

 Preload: V2_0 Test results: 

 Test units:1#01,2#07,3#01,4#07,5#05 Fail units: sku2#07 Issue Description: 

 UMA unit 3D performance score is higher than DIS units.",0
[110-17IKB_SIV] The DIS(sku1) performance score(CloudGate/HeavenBenchMark) is lower than UMA(sku4).,"Test condition: OS: Win 10 Pro 10586 Preload: V3 Language: EN BIOS/EC: 3QCN03WW/3QEC03WW Test result: Test units: sku1#12,sku2#20,sku3#11,sku4#07,sku4#10 Fail units: sku1#12,sku4#10 Issue description:  The DIS(sku1) performance score(CloudGate/HeavenBenchMark) is lower than UMA(sku4).(SPEC :DIS 2100~2850,UMA ) Test value as below: Sku1:4289,sku2:3655,sku3:1854,sku4:5570",0
[330-15ARR_SIT_Performace]UMA units cannot meet SPEC when run 3DMark11 with BIOSV21+PreloadV31.,"Test condition:  OS: win10 RS3 10.0.16299

 Language: EN

 BIOS/EC: V21/V21

 Preload: V31 Test results: 

 Test units:sku1-48,sku2-15,sku3-23,sku4-44,sku5-21,sku6-08,sku1-02R3,sku1-03R7,sku3-06R7 Fail units: sku4-44,sku5-21,sku6-08,sku1-02R3,sku1-03R7,sku3-06R7 Fail rate by units: 6 out of 9 units. Issue description:  UMA units cannot meet SPEC when run 3DMark11 with BIOSV21+PreloadV31.",0
[320 ABR SIT]-Test score can’t meet SA Spec when run 3Dmark11/3Dmark AC mode benchmark.,"Test condition: 

 OS: Win10 Pro 10.0.14393 

 Language: EN

 Preload: V6.0 BIOS/EC: 5QCN08WW/5QEC08WW Test results: 

 Test units:SKU1#30, SKU2#18,SKU3#10,SKU4#27,SKU5#15,SKU6#03, SKU7#17,SKU8#17,SKU9#15, SKU10#09,SKU11#33, SKU12#09,SKU13#09,SKU14#14 Fail units:  SKU1#30, SKU4#27,SKU7#17, SKU11#33 Fail rate by units: 4 out of 14 Units Issue Description:                                                                            

 Test score can’t meet SA Spec when run 3Dmark11/3Dmark AC mode benchmark. 3Dmark- Fire Strike/ Sky Diver/ Cloud Gate/ Ice Storm all exist this issue.",0
[330-14/15/17IKB_Optane_Performance]PCMark vantage can not meet spec .,"Test condition:

OS:Win10 16299;

Language: EN/CN;

BIOS/EC: 8RCN07WW

Preload version:V22

Test Result: 

Test units:SKU7

Fail units:SKU7

Fail rate by times: 6 out of 6 times;

Fail rate by units: 2 out of 2 units;  

Issue description:PCMark vantage not meet spec .",0
[330_ICN_SIT] SKU3 PC mark8 home and creative mode test result is worse than other units.,Test condition: OS: Win10 16299 Language: EN BIOS/EC: V23/V23 Preload: V16   Test Result: Test units: 5 units (SKU1#39;SKU2#25;SKU3#36;SKU4#35;SKU5#03) Fail units: 1 units(;SKU3#36;) Fail rate by units: 1out of 5units.   Issue description:  SKU3 PC mark8 home and creative mode test result is worse than other units.Test value as below: Home: SKU1#39：3206 SKU2#25：3073 SKU3#36：2689 SKU4#35：3078 SKU5#03：2956   Creative SKU1#39：2736 SKU2#25：2698 SKU3#36：2327 SKU4#35：2751 SKU5#03：2514    ,0
[Yoga530-14ARR-EVT] 3DMark performance score can’t meet spec.(F/R:1/3 by units),"Test condition: 

BIOS/EC: 8MEC03WW/8MEC03WW

Preload: V02

OS: Win10 Pro 16299

Language: EN Test Result:

Test units: 3 unit(Sku1#19,Sku2#31,Sku3#02)

Fail units: Sku3#02

Fail rate by units: 1/3 units Issue description:

3DMark performance score can’t meet spec.The result refer to attachment.

How to recover:

Run 3DMark V2.4.4163",0
[Y520-15 IKB_SIT]OpenGL(fps) test value is abnormal when run GeekBench_R15 benchmark.,"Test condition: OS: Win10 Pro 10.0.14393 Language: EN Preload: V08 BIOS/EC: V17/V17 Test results: Test units:SKU2#05,SKU3#09,SKU6#03,SKU7#36 Fail units: all Fail rate by units: 4 out of 4 Units Issue Description:                                                                            OpenGL (fps) test value is abnormal when run GeekBench_R15 benchmark.，test value always equal 1,FVT test result is normal.",0
[530S-14ARR_New Ryzen7 CPU] PCMark8 Home/Creative/work conventional score can't meet spec(F/R by units: 1/2). ,"Test condition

OS: Win10 RS3 16299

Language: EN

BIOS/EC: 8PCN19WW

Preload: V19 Test Result:

Test units: SKU5#11,SKU5#25

Fail units: SKU5#25

Fail rate by all test unit: 1 out of 2 units

Fail rate by times: 2/2 times Issue Description: 

PCMark8 Home/Creative/work conventional score can't meet spec. Please refer to attachment for detailed information.

How to recover: Run PCMark8 Home/Creative/work conventional",0
[330-15ARR_SIT_Performace]3DMark11/3DMark/PCMark8 SPEC not ready.,"Test condition:  OS: win10 RS3 10.0.16299

 Language: EN

 BIOS/EC: V11/V11

 Preload: V14 Test results: 

 Test units:1#48,2-15,3-23,4-44,5-21,6-08 Fail units: 1#48,2-15,3-23,4-44,5-21,6-08 Fail rate by units: 6 out of 6 units. Issue description:  Need Performance SPEC to check result, 3DMark11/3DMark/PCMark8 SPEC not ready.",0
[320 IAP_SIT]3D performance score can not meet SPEC,"Test condition: OS: Win10 64bit Preload: V4_0 Language: EN BIOS/EC: V06/V06   Test result: Test units: 1#38,3#36,4#22,5#14,6#08,8#29,9#10,9#14,10#32 Fail units: 9#10,9#14, Fail rate of units: 2 out of 9 units   Issue description: Performance score can’t meet SPEC when run 3D Mark. 3D Mark IceStorm SPEC:25000~40000. SKU9#10:24028， SKU9#14:24568 3D Mark CloudGate SPEC:3000~6000 SKU9#10:2828， SKU9#14:2832   Expected behavior: Performance score can meet SPEC. How to recover:

NA",0
[330-15ARR_EVT_Performace]SKU1 Physics score is different with other similar configuration units.,"Test condition: OS: win10 RS3 10.0.16299

 Language: CHS/EN

 BIOS/EC: V01/V01

 Preload: V2_0 Test results: 

 Test units:1#01,2#07,3#01,4#07,5#05 Fail units: 1#01 Issue Description:  SKU1 Physics score is different with other similar configuration units.",0
[Y7000P 1060-SIT] Some 3Dmark/Heaven benchmark test item of 8+8G/16+16G SKU(High configuration） is lower about 3% than 4+4G SKU(low configurtaion).,"Test condition: 

OS: 10.0.17134

Language: EN

BIOS/EC: 9VCN05WW/ 9ECN05WW Test units:

Y7000P: 1#42,2#42,3#16,4#24

Fail units: 

Y7000P: 2#42,4#24 Fail rate by units: 2 out of 4 units

Fail rate by times: N/A Issue Description:

Some 3Dmark/Heaven benchmark test item of 8+8G/16+16G SKU(High configuration） is lower about 3% than 4+4G SKU(low configurtaion).

Some 3Dmark/Heaven benchmark test item of SKU2 is lower about 3% than SKU1.

Some 3Dmark/Heaven benchmark test item of SKU4 is lower about 3% than SKU3.

For detail see attachment.

  How to recover: 

Run 3Dmark/Heaven benchmark test.",0
[Y530-15ICH&Y7000P 1060-SIT]Sometimes the Seq Q32T1 Read speed of LENSN30256GMSP34MEAT3TA(AM6672) cannot meet test spec when run CrystalDiskMark test.,"
Test condition: 

OS: 10.0.17134

Language: EN

BIOS/EC: 9VCN05WW/ 9ECN05WW Test units:

Y530-1060: 1#26,2#09,3#05,4#05,5#04

Y7000P-1060:1#42,2#42,3#16,4#24

Fail units: 

Y530-1060: 5#04

Y7000P-1060:2#42,4#24

Fail rate by units: 3 out of 9 units

Fail rate by times: N/A Issue Description:

After test unit do some performance test, such as 3Dmark/3Dmark11/PCmark8/Pcmark10 performance test,the Seq Q32T1 Read speed of LENSN30256GMSP34MEAT3TA(AM6672) cannot meet test spec when run CrystalDiskMark test.

Test result is about 1000MB/S, spec need to over 1200MB/S. See attachment for detail. How to recover: 

Run CrystalDiskMark test.",0
[330_ICN_FVT]SKU2&SKU5 performance score is different with other similar configuration units.,Test condition:  OS: Win10 16299 Language: EN BIOS/EC: V14/V14 Preload: V07   Test Result: Test units: 5 units(SKU1#35;SKU2#09;SKU3#29;SKU4#38;SKU5#01) Fail units: 2 units(SKU2#09;SKU5#01) Fail rate by units: 2 out of 5units.   Issue description: SKU5 performance score is better than other similar configuration units. SKU2 performance score is worse than other similar configuration units 3D Mark11 test value as below: SKU1:3164 SKU2:2898 SKU3:3142 SKU4:3106 SKU5:3475,0
[530S-14ARR_SIT] 3Dmark11 and 3Dmark score can’t meet test spec(F/R by units: 3/4).,"| Test condition: OS: Win10 RS3 16299 Language: EN BIOS/EC: 8PCN07WW Preload: V10   Test Result: Test units: SKU1#51, SKU2#39, SKU3#40, SKU4#20 Fail units: SKU1#51, SKU2#39, SKU3#40 Fail rate by all test units: 3out of 4 units   Issue Description: 3Dmark11 and 3Dmark score can’t meet test spec. Please refer to attachment for detail.   Expected behavior: 3Dmark11 and 3Dmark score can meet test spec  How to recover: Run 3Dmark and 3Dmark11 performance test.. |  
",0
[Miix720-12IKB-RS1_Upgrade] PCMark Vantage HDD score of Samsung PM961 512 SSD is lower than Samsung PM961 256 SSD,"  

Test condition:   OS: Win10 RS1 14393   Language: EN   BIOS/EC: V25/V25   Preload: Commercial V01 upgrade to RS1 14393

    Test Result:   Test units: SKU1,SKU3,SKU4,SKU6   Fail units: SKU1,SKU3,   Fail rate by all test units: 2 out of 6 units   

Issue Description:   PCMark Vantage HDD score of Samsung PM961 512 SSD is lower than Samsung PM961 256 SSD. Test data as see attachment. Exchange SKU1 and SKU4 SSD to each other, it also can reproduce this issue.",0
[530S_14/15IWL_SIT] PCMark10/PCMark10 express/PCMark10 extended high performance mode score is lower than quiet mode performance score.(F/R by unit:5/6),"Test condition:

OS:Win10 17134

BIOS/EC: 9WCN11WW/9WEC11WW

Image:V11

Language: CHS

Tool: PCMark10 V1.0.1493

Test Case:PSA001_08  Intel DPTF testcase for ITS 3.0  V3.0.2  Test result:

Test units: 6 units(SKU1#24,SKU2#24,SKU3#12,SKU4#37,SKU5#18,SKU6#7);

Fail units: SKU1#24,SKU2#24,SKU3#12,SKU5#18,SKU6#7;

Fail rate by units: 5/6 by units;

Fail rate by times: 2/2 by times; Issue Description:

PCMark10/PCMark10 express/PCMark10 extended high performance mode score is lower than quiet mode performance score.Test result as attachment.

System no hang up or BSOD, test score in Performance mode is higher than Quiet mode.(PSA001_08  Intel DPTF testcase for ITS 3.0  V3.0.2)",0
[Yoga530-14IKB-FFRT]The 3Dmark11 score of I5CPU DIS SKU is lower than I3CPU DIS SKU.,"| Test condition: OS: Win10 RS3 16299 Language: EN BIOS/EC: 7QCN16WW Preload: V25   Test Result: Test units: SKU1, SKU2, SKU4,SKU5,SKU6,SKU7 Fail units: SKU2, SKU4 Fail rate by all test units: 2 out of 6 units   Issue Description:  The 3Dmark11 score of I5CPU DIS SKU is lower than I3CPU DIS SKU. Actual test result: Pad mode:  SKU2 SKU4 2840 2899   NB mode: SKU2 SKU4 2881 2895 Please refer to attachment for detail. |  
",0
[G330 ICH_FVT Phase]The Seq Q32T1 Write speed of Lenovo 256GB SSD can’t meet spec(>240 MB/s).,"Test condition: 

 OS: Win10 16299

 Language: EN

 BIOS/EC: V09/V09

 Preload: V07 Test Result:

 Test units: 6 units(SKU1#13;SKU2#35;SKU3#09;SKU4#19;SKU5#08; SKU6#12)

 Fail units:1 units(SKU2#35;)

 Fail rate by units: 1 out of 6 units.

  

 Issue description:

 The Seq Q32T1 Write speed of Lenovo 256GB SSD can’t meet spec(>240 MB/s). Test result is about 180MB/s.   Y530 ICH has the same issue, it’s due to the ES sample SSD, verify PASS with CS sample SSD.",0
[Yoga530-14IKB_SIT] SKU1-57 3D performance score is lower than SKU1-70 for about 40%.,"Test condition: OS: Win10 RS3 16299 Language: EN BIOS/EC: 7QCN10WW Preload: V15   Test Result: Test units: SKU1-57, SKU1-70 Fail units: SKU1-57 Fail rate by all test units: 1 out of 2 units   Issue Description:  SKU1-57 3D performance score is lower than SKU1-70 for about 40%. Refer to attachment for more details.",0
[320-ISK/IKB I+N_SIT] PCMark8 AC/DC score can't meet Spec except SSD storage score.,"Test condition: Preload: V07 BIOS/EC: V09/VV09 Language: EN Test result: Test units: Sku4#6,Sku5#4,Sku10#25,Sku12#23,Sku14#7,Sku15#65,Sku17#21,Sku19#49,Sku20#25,Sku 21#19 Fail units: Sku4#6,Sku5#4,Sku10#25,Sku12#23,Sku14#7,Sku15#65,Sku17#21,Sku19#49,Sku20#25,Sku 21#19 Fail rate by units: 10 out of 10 units Fail rate cycles: 1 out of 1 times Issue description: PCMark8 AC/DC score can't meet Spec except SSD storage score. The score as attached.",0
[320-ISK/IKB I+A_SIT] 3Dmark11 DC score is higher than AC score.,"Test condition: OS: 14393 Language: EN BIOS/EC: 4WCN15WW / 4WEC15WW Preload: V15   Test Result: Test units: IKB: SKU2#25, SKU3#22, SKU7#15, SKU8#26,  ISK: SKU8#11, SKU9#02 Fail units: IKB: SKU3#22, SKU7#15, SKU8#26,  ISK: SKU8#11, Fail rate by all test units: 4 out of 6 units   Issue Description:  3Dmark11 DC score is higher than AC score on some test units. Detail refer to attachment.",0
[110-17IKB_SIT]The DIS units test result of 3DMark11 under DC mode is half of AC mode. ,"Test condition: OS: Win 10 Pro 10586 Preload: V9 Language: EN BIOS/EC: 3QCN07WW/3QEC07WW Test result: Test units: sku1#26,sku2#19,sku3#17,sku4#13,sku5#19,sku6#02,sku7#16,sku8#09 Fail units: sku1#26,sku2#19,sku3#17,sku4#13,sku5#19 Issue description:  The DIS units test result of 3DMark11 under DC mode is half of AC mode.  Test value please refer to attachment.",0
"[Y790_SIT_X9/X11_H/D_PF] Fire strike DC overall score is not stable when run 3Dmark Fire strike under DC mode.(F/R:2/2 units,2/8 cycles)",,0
[NEC 330 IKBR_SIT]3D Mark 11 AC mode performance is lower than DC mode for more than 5%,"Test condition: 

 OS: Win10 16299

 Language: JP

 BIOS/EC: V04/V04

 Preload: V0.0   Test Result:

 Test units: 4 units(SKU1#02;SKU2#07;SKU3#26;SKU4#11) Fail units: 2 units(SKU1#02;SKU2#07)

 Fail rate by units:2 out of 4 units.

  

 Issue description:

 AC mode performance is lower than DC mode for more than 5%. Test value as below:

 SKU1-02: 6.50%

 SKU2-07: 5.51%

 SKU3-26: 0.06%

 SKU4-11: 0.18%

  Expectation: AC mode performance is the same or higher than DC mode.",0
[Medion- SIT] The Physics Score of SKU2#27(I7CPU+16G+256&1THDD) is lower than SKU1#20(i7CPU+16G+512&2THDD) for more than 12% when run 3Dmark11 and 3Dmark test,"Test condition: OS: 14393 Language: EN BIOS/EC: MDCN03WW /MDEC03WW Preload: V02   Test Result: Test units: SKU1#20(SSD+HDD),2#27(SSD+HDD) Fail units: 1#20,2#27 Fail rate by all test units: 1 out of 2units   Issue Description:  The Physics Score of SKU2#27(I7CPU+16G+256&1THDD) is lower than SKU1#20(i7CPU+16G+512&2THDD) for more than 12% when run 3Dmark11 and 3Dmark test. Test value see attachment.",0
[320_IKBRN _SIT ]3D Mark 11 DC mode performance is lower than AC mode for more than 10%.,"Test condition: OS: Win10 15063 Language: EN BIOS/EC: V05/V05 Preload: V08    Test Result: Test units: SKU1-12,SKU2-18,SKU3-09,SKU4-18,SKU7-21,SKU8-27,SKU9-15,SKU10-14,SKU12-19 Fail units: SKU1-12,SKU3-09,SKU4-18,SKU9-15,SKU12-19 Fail rate by units: 5 out of 9 units.   Issue description: DC mode performance is lower than AC mode for more than 10%. SPEC require the gap is less than 5%, worst result is gap less than 10%.             AC; DC; GAP SKU1：4322;4011;7.20% SKU2：1751;1773;-1.23% SKU3：4305;3892;9.59% SKU4：4281;3892;6.34% SKU7：4121;3990;3.18% SKU8：1821;1830;-0.49% SKU9：4346;3948;9.15% SKU10:1798;1747;2.84% SKU12:4215;3649;13.43%

",0
[320 ABR SIT]High config SKU test score is lower then Low config SKU when run 3DMark v2.1.2973 benchmark.,"Test condition: 

OS: Win10 Pro 10.0.14393 

Language: EN

Preload: V3.0

BIOS/EC: 5QCN06WW/5QEC06WW

Test results: 

Test units:SKU1#30, SKU2#18,SKU3#10,SKU4#27,SKU5#15,SKU6#03,

SKU7#17,SKU8#17,SKU9#15, SKU10#09,SKU11#33,

SKU12#09,SKU13#09,SKU14#14 

Fail units:  SKU1#30, SKU4#27, SKU11#33

Fail rate by units: 3 out of 14 Units

Issue Description:                                                                            

High config SKU test score is lower then Low config SKU when run 3DMark v2.1.2973 benchmark. Sky Diver is recommend test item，

Config：SKU1/SKU4/SKU11>SKU3/SKU8,SKU1>SKU8

Score：SKU1/SKU4/SKU11<SKU3/SKU8,SKU1<SKU8",0
[530S-14ARR-SIT] Toshiba(BG3) KBG30ZMT128G SSD crystaldiskmark write score can't meet spec when used it for some time.(F/R:3/8 by units),"Test condition: 

OS: Win10 RS3 Pro 16299

BIOS/EC: 8PCN19WW/8PCN15WW

Preload: V19

Language: EN

Detect by: PFA003_01 CrystalDiskMark Test Result:

Test units: 8 units(Sku1#37,Sku2#36,Sku3#39,Sku4#27,Sku1#51,Sku2#39,Sku3#40,Sku4#20)

Fail units: Sku1#37,Sku4#27,Sku1#51

F/R: 3/8 units Issue description:

Toshiba(BG3) KBG30ZMT128G SSD crystaldiskmark write score can't meet spec when used it for some time.The result can't stable, change another units, the result may be meet spec. 

Sku1#37: 138MB/s, Sku4#27:142MB/s, Sku1#51:142MB/s

How to recover:

Run CrystalDiskMark",0
[330IGM_SIT] Wer Performance Media Experience – Streaming cannot meet SPEC.,"Test condition:  OS: win10 RS3 10.0.16299

 Language: EN

 BIOS/EC: V11/V11

 Preload: V14 Test results: Test units: 1#32,3-16,4-31,5-06,6-36,7-18,8-22 Fail units: 1#32,8-22 Fail rate by units: 2 out of 7 units. Issue description:  Wer Performance Media Experience – Streaming cannot meet SPEC.",0
"
[Y530P-15ICH_SIT]The score of High config SKU is lower than low config in PCMark8/PCMark10 test","Test Condition:

Preload: V18

OS: RS4 version 17134

Language: EN

BIOS/EC: 9PCN11WW Test Result: 

Test units: SKU1-34 SKU2-19 SKU3-10 SKU4-52 SKU5-24 SKU6-21

Fail units: SKU1-34 SKU4-52

Fail rate by units: 2/6 by units

Fail rate by times: 2/6 by times Issue Description: The Score of High config SKU is lower than low config in PCMark8/10 test   How to recover:

None",0
[310-15ABR _SIT] Toshiba SSHD Seq Write rate is below 70 MB/s when run CrystalDiskMark5.12 HDD Performance.," Test condition: 

OS: Win10 Pro 10.0.10586 

Language: EN

Preload: V12

BIOS/EC: 1LCN11WW/1LEC11WW

SSHD type：Toshiba MQ02ABF050H 7mm  5.4k  500GB+8GB SSHD

Test results: 

Test units:SKU1#11,SKU2#04,SKU3#04(SSHD),

SKU4#22,SKU5#15,SKU6#11 

Fail units:  SKU3#04

Fail rate by units: 1 out of 6 Units

Issue Description:                                                                            

Toshiba SSHD Seq Write rate is below 70 MB/s when run CrystalDiskMark5.12 HDD Performance.This type SSHD Seq Write rate about 50 MB/s，SKU3#09 also exist this issue. .",0
[NEC 330 IKBR_SIT]PCMark8 and PCmark10 DC mode performance is lower than AC mode for more than 10%,"Test condition: 

 OS: Win10 16299

 Language: JP

 BIOS/EC: V04/V04

 Preload: V0.0   Test Result:

 Test units: 4 units(SKU1#02;SKU2#07;SKU3#26;SKU4#11) Fail units: 2 units(SKU1#02;SKU2#07)

 Fail rate by units:2 out of 4 units.

  

 Issue description:

 DC mode performance is lower than AC mode for more than 10%. SPEC require the gap is less than 5%, worst result is gap less than 10%. Test value as attachment:

  Expectation: DC mode performance is the same as AC mode.",0
[Yoga530-14ARR-EVT] PCMark8 performance score can’t meet spec.(F/R:2/3 by units),"Test condition: 

BIOS/EC: 8MEC02WW/8MEC02WW

Preload: V02

OS: Win10 Pro 16299

Language: EN Test Result:

Test units: 3 unit(Sku1#19,Sku2#31,Sku3#02)

Fail units: Sku1#19,Sku2#31

Fail rate by units: 2/3 units Issue description:

PCMark8 performance score can’t meet spec.The result refer to attachment.

How to recover:

Run PCMark8 V2.7.613",0
[530S-14/15IKB-SIT] PCMark8 perofrmance score gap over 10% between AC and DC.,"Test condition: 

BIOS/EC: 7PCN16WW/7PEC16WW

Preload: V20

OS: Win10 Pro 16299

Language: EN Test Result:

Test units: Sku2#45,Sku3#20,Sku4#12,Sku5#13,Sku6#31,Sku7#24,Sku9#33,Sku10#12,Sku11#44,Sku12#57

Fail units: Sku5#13,Sku7#24,Sku11#44,Sku12#57

Fail rate by units: 4/10 by unit Issue description:

PCMark8 perofrmance score gap over 10% between AC and DC.

How to recover:

Run PCMark8 performance test.",0
[MIIX710-12IKB-SIV] 3DMark11 AC mode score is lower than DC mode for more than 10%.,"Test condition: 

OS: Win10 10586 BIOS/EC: 3TCN02WW/ 3TEC02WW Preload: V1 Language: EN   Test result: 

Test units: SKU1#07, SKU2#28, SKU3#26, SKU4#37, SKU5#13, SKU6#13                   Fail units:  SKU1#07, SKU2#28, SKU3#26, SKU4#37, SKU5#13, SKU6#13  Fail rate by all test units: 6 out of 6 units   Issue description: 

3DMark 11 AC mode score is lower than DC mode for more than 10%. SPEC require the gap is less than 5%, worst result is gap less than 10%.Test value see attachment for detail.",0
[330-14/15/17IKBR_Keyparts_Performance]Home score can not meet spec（<2950~3400) when run PC Mark8.,"Test condition: OS:Win10 16299;

Language:EN

BIOS/EC:8TCN24WW

Preload version:V13

Test Result: 

Test units:SKU1 SKU4 SKU5 SKU6 SKU7 SKU8 SKU9

Fail units: SKU4 SKU6 SKU8

Fail rate by units :3 out of 7 units;

Fail rate by times: 9 out of 21 units; Issue description:Home score can not meet spec（<2950~3400) when run PC Mark8.",0
[310_510IKB_SIV]The result of Cloud Gate can’t meet SPEC when run 3DMark,Test condition:  OS: Win10 10586 Language: EN BIOS/EC: V01/V01 Preload: V01   Test Result: Test units: 6 units Fail units: 2 units(CG413 sku2#16; CG513 sku1#11) Fail rate by units: 2 out of 6 units.   Issue description:  The result of Cloud Gate can’t meet SPEC when run 3DMark SPEC:5900—6400 CG413 sku2：5522 CG513 sku1：5616,0
